Protein-Name,Substrate,Subtype,Family,Family Name,Transporter Class,TC number
"ECED1_4791","sodium ion:proton antiporter","","CPA1","The Monovalent Cation:Proton Antiporter-1 (CPA1) Family","Secondary Transporter","2.A.36"
"ECED1_5224","sodium ion:proton antiporter","","CPA1","The Monovalent Cation:Proton Antiporter-1 (CPA1) Family","Secondary Transporter","2.A.36"
"ECED1_0046","potassium/sodium ion:proton antiporter","","CPA2","The Monovalent Cation:Proton Antiporter-2 (CPA2) Family","Secondary Transporter","2.A.37"
"ECED1_0501","potassium/sodium ion:proton antiporter","","CPA2","The Monovalent Cation:Proton Antiporter-2 (CPA2) Family","Secondary Transporter","2.A.37"
"ECED1_4012","potassium/sodium ion:proton antiporter","","CPA2","The Monovalent Cation:Proton Antiporter-2 (CPA2) Family","Secondary Transporter","2.A.37"
"ECED1_1932","proton/sodium ion:glutamate/aspartate symporter","","DAACS","The Dicarboxylate/Amino Acid:Cation (Na+ or H+) Symporter (DAACS) Family","Secondary Transporter","2.A.23"
"ECED1_3756","sodium ion:serine/threonine symporter","","DAACS","The Dicarboxylate/Amino Acid:Cation (Na+ or H+) Symporter (DAACS) Family","Secondary Transporter","2.A.23"
"ECED1_4206","proton/sodium ion:glutamate/aspartate symporter","","DAACS","The Dicarboxylate/Amino Acid:Cation (Na+ or H+) Symporter (DAACS) Family","Secondary Transporter","2.A.23"
"ECED1_4805","proton/sodium ion:glutamate/aspartate symporter","","DAACS","The Dicarboxylate/Amino Acid:Cation (Na+ or H+) Symporter (DAACS) Family","Secondary Transporter","2.A.23"
"ECED1_0609","sodium ion:dicarboxylate/sulfate","","DASS","The Divalent Anion:Na+ Symporter (DASS) Family","Secondary Transporter","2.A.47"
"ECED1_0733","sodium ion:dicarboxylate/sulfate","","DASS","The Divalent Anion:Na+ Symporter (DASS) Family","Secondary Transporter","2.A.47"
"ECED1_2756","sodium ion:dicarboxylate/sulfate","","DASS","The Divalent Anion:Na+ Symporter (DASS) Family","Secondary Transporter","2.A.47"
"ECED1_3732","sodium ion:dicarboxylate/sulfate","","DASS","The Divalent Anion:Na+ Symporter (DASS) Family","Secondary Transporter","2.A.47"
"ECED1_4775","sodium ion:dicarboxylate/sulfate","","DASS","The Divalent Anion:Na+ Symporter (DASS) Family","Secondary Transporter","2.A.47"
"ECED1_4856","C4-dicarboxylate","","Dcu","The C4-Dicarboxylate Uptake (Dcu) Family","Secondary Transporter","2.A.13"
"ECED1_4926","C4-dicarboxylate","","Dcu","The C4-Dicarboxylate Uptake (Dcu) Family","Secondary Transporter","2.A.13"
"ECED1_0618","C4-dicarboxylate","","DcuC","The C4-dicarboxylate Uptake C (DcuC) Family","Secondary Transporter","2.A.61"
"ECED1_2762","C4-dicarboxylate","","DcuC","The C4-dicarboxylate Uptake C (DcuC) Family","Secondary Transporter","2.A.61"
"ECED1_5102","C4-dicarboxylate","","DcuC","The C4-dicarboxylate Uptake C (DcuC) Family","Secondary Transporter","2.A.61"
"ECED1_1601","drug/metabolite?","","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_1623","drug/metabolite?","","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_1663","drug/metabolite?","DME","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_1750","drug/metabolite?","","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_1768","multidrug efflux (SMR)","SMR","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_1769","multidrug efflux (SMR)","SMR","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_2203","multidrug efflux (SMR)","SMR","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_2226","drug/metabolite?","","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_2725","multidrug/quaternary ammonium compound efflux (SMR subfamily)","SMR","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_3842","chloramphenicol (RarD homolog)","RarD","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_4353","drug/metabolite?","","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_4504","drug/metabolite?","","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_4512","drug/metabolite?","","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_4609","drug/metabolite?","","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_4649","chloramphenicol (RarD homolog)","RarD","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_4937","multidrug efflux (SMR)","SMR","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_5069","drug/metabolite?","","DMT","The Drug/Metabolite Transporter (DMT) Superfamily","Secondary Transporter","2.A.7"
"ECED1_4337","sodium ion:glutamate symporter","","ESS","The Glutamate:Na+ Symporter (ESS) Family","Secondary Transporter","2.A.27"
"ECED1_0931","formate/nitrite","","FNT","The Formate-Nitrite Transporter (FNT) Family","Secondary Transporter","2.A.44"
"ECED1_2810","formate/nitrite","","FNT","The Formate-Nitrite Transporter (FNT) Family","Secondary Transporter","2.A.44"
"ECED1_4031","formate/nitrite","","FNT","The Formate-Nitrite Transporter (FNT) Family","Secondary Transporter","2.A.44"
"ECED1_2812","gluconate","","GntP","The Gluconate:H+ Symporter (GntP) Family","Secondary Transporter","2.A.8"
"ECED1_3193","gluconate","","GntP","The Gluconate:H+ Symporter (GntP) Family","Secondary Transporter","2.A.8"
"ECED1_4076","gluconate","","GntP","The Gluconate:H+ Symporter (GntP) Family","Secondary Transporter","2.A.8"
"ECED1_4110","gluconate","","GntP","The Gluconate:H+ Symporter (GntP) Family","Secondary Transporter","2.A.8"
"ECED1_1815","multidrug efflux?","","GPH","The Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family","Secondary Transporter","2.A.2"
"ECED1_4350","multidrug efflux?","","GPH","The Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family","Secondary Transporter","2.A.2"
"ECED1_4575","multidrug efflux?","","GPH","The Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family","Secondary Transporter","2.A.2"
"ECED1_4576","multidrug efflux?","","GPH","The Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family","Secondary Transporter","2.A.2"
"ECED1_2175","aromatic amino acid","","HAAAP","The Hydroxy/Aromatic Amino Acid Permease (HAAAP) Family","Secondary Transporter","2.A.42"
"ECED1_3249","serine","","HAAAP","The Hydroxy/Aromatic Amino Acid Permease (HAAAP) Family","Secondary Transporter","2.A.42"
"ECED1_3302","serine","","HAAAP","The Hydroxy/Aromatic Amino Acid Permease (HAAAP) Family","Secondary Transporter","2.A.42"
"ECED1_3776","serine","","HAAAP","The Hydroxy/Aromatic Amino Acid Permease (HAAAP) Family","Secondary Transporter","2.A.42"
"ECED1_3781","serine","","HAAAP","The Hydroxy/Aromatic Amino Acid Permease (HAAAP) Family","Secondary Transporter","2.A.42"
"ECED1_3821","aromatic amino acid","","HAAAP","The Hydroxy/Aromatic Amino Acid Permease (HAAAP) Family","Secondary Transporter","2.A.42"
"ECED1_4218","serine","","HAAAP","The Hydroxy/Aromatic Amino Acid Permease (HAAAP) Family","Secondary Transporter","2.A.42"
"ECED1_4400","aromatic amino acid","","HAAAP","The Hydroxy/Aromatic Amino Acid Permease (HAAAP) Family","Secondary Transporter","2.A.42"
"ECED1_4612","2-keto-3-deoxygluconate","","KDGT","The 2-Keto-3-Deoxygluconate Transporter (KDGT) Family","Secondary Transporter","2.A.10"
"ECED1_4437","potassium ion uptake","","KUP","The K+ Uptake Permease (KUP) Family","Secondary Transporter","2.A.72"
"ECED1_3617","L-lactate","","LctP","The Lactate Permease (LctP) Family","Secondary Transporter","2.A.14"
"ECED1_4289","L-lactate","","LctP","The Lactate Permease (LctP) Family","Secondary Transporter","2.A.14"
"ECED1_5018","L-lactate","","LctP","The Lactate Permease (LctP) Family","Secondary Transporter","2.A.14"
"ECED1_3136","branched-chain amino acid efflux (AzlC)","AzlC","LIV-E","The Branched Chain Amino Acid Exporter (LIV-E) Family","Secondary Transporter","2.A.78"
"ECED1_3137","branched-chain amino acid efflux (AzlC)","","LIV-E","The Branched Chain Amino Acid Exporter (LIV-E) Family","Secondary Transporter","2.A.78"
"ECED1_0424","branched-chain amino acid","","LIVCS","The Branched Chain Amino Acid:Cation Symporter (LIVCS) Family","Secondary Transporter","2.A.26"
"ECED1_3378","lysine efflux","","LysE","The L-Lysine Exporter (LysE) Family","Secondary Transporter","2.A.75"
"ECED1_0044","glycerol-3-phosphate","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0296","sugar","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0297","sugar","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0307","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0316","metabolite (alpha-ketoglutarate?)","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0325","multidrug efflux?","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0371","nitrate/nitrite","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0381","metabolite (benzoate?)","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0418","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0450","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0456","Acetyl-CoA:CoA antiporter","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0502","nitrate/nitrite","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0588","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0753","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0806","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0809","multidrug efflux?","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_0928","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1198","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1209","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1373","nitrate","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1504","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1549","multidrug efflux (EmrB/QacA subfamily)","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1622","nitrate","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1656","multidrug efflux (Bcr/CflA subfamily)","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1664","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1765","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1856","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1859","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1889","glycerol-3-phosphate","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1890","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1971","metabolite (benzoate?)","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1979","metabolite (benzoate?)","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1997","cyanate","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_2032","multidrug efflux (EmrB/QacA subfamily)","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_2245","Acetyl-CoA:CoA antiporter","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_2287","sugar","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_2423","multidrug efflux (EmrB/QacA subfamily)","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_2633","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_2705","glycerol-3-phosphate","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_2712","D-galactonate","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_2786","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_2814","multidrug efflux (EmrB/QacA subfamily)","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_2849","sugar","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_2968","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_3019","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_3135","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_3140","multidrug efflux (EmrB/QacA subfamily)","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_3220","metabolite (benzoate?)","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_3223","nitrate/nitrite","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_3242","D-galactonate","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_3254","multidrug efflux?","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_3291","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_3298","sugar","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_3308","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_3406","sugar","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_3427","sugar","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_3875","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_4028","sugar efflux?","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_4146","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_4201","sugar","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_4232","oxalate:formate antiporter","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_4357","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_4361","multidrug efflux?","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_4362","multidrug efflux?","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_4369","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_4382","D-galactonate","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_4401","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_4444","multidrug efflux (EmrB/QacA subfamily)","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_4667","D-galactonate","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_4671","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_4845","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_4913","multidrug efflux","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_5043","multidrug efflux?","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_5056","D-galactonate","","MFS","The Major Facilitator Superfamily (MFS)","Secondary Transporter","2.A.1"
"ECED1_1213","virulence factor MviN","MVF","MOP","The Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily","Secondary Transporter","2.A.66"
"ECED1_1862","multidrug efflux","MATE","MOP","The Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily","Secondary Transporter","2.A.66"
"ECED1_2291","multidrug efflux","MATE","MOP","The Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily","Secondary Transporter","2.A.66"
"ECED1_2384","multidrug efflux","","MOP","The Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily","Secondary Transporter","2.A.66"
"ECED1_2392","polysaccharide export","PST","MOP","The Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily","Secondary Transporter","2.A.66"
"ECED1_3633","polysaccharide export","PST","MOP","The Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily","Secondary Transporter","2.A.66"
"ECED1_4477","multidrug efflux","","MOP","The Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily","Secondary Transporter","2.A.66"
"ECED1_4760","multidrug efflux","MATE","MOP","The Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily","Secondary Transporter","2.A.66"
"ECED1_0368","cytosine/purines/uracil/thiamine/allantoin","","NCS1","The Nucleobase:Cation Symporter-1 (NCS1) Family","Secondary Transporter","2.A.39"
"ECED1_0530","cytosine/purines/uracil/thiamine/allantoin","","NCS1","The Nucleobase:Cation Symporter-1 (NCS1) Family","Secondary Transporter","2.A.39"
"ECED1_4520","cytosine/purines/uracil/thiamine/allantoin","","NCS1","The Nucleobase:Cation Symporter-1 (NCS1) Family","Secondary Transporter","2.A.39"
"ECED1_3344","xanthine/uracil","","NCS2","The Nucleobase:Cation Symporter-2 (NCS2) Family","Secondary Transporter","2.A.40"
"ECED1_4359","xanthine/uracil","","NCS2","The Nucleobase:Cation Symporter-2 (NCS2) Family","Secondary Transporter","2.A.40"
"ECED1_4405","xanthine/uracil","","NCS2","The Nucleobase:Cation Symporter-2 (NCS2) Family","Secondary Transporter","2.A.40"
"ECED1_4790","xanthine/uracil","","NCS2","The Nucleobase:Cation Symporter-2 (NCS2) Family","Secondary Transporter","2.A.40"
"ECED1_0532","xanthine/uracil","","NCS2","The Nucleobase:Cation Symporter-2 (NCS2) Family","Secondary Transporter","2.A.40"
"ECED1_1162","xanthine/uracil","","NCS2","The Nucleobase:Cation Symporter-2 (NCS2) Family","Secondary Transporter","2.A.40"
"ECED1_2920","xanthine/uracil","","NCS2","The Nucleobase:Cation Symporter-2 (NCS2) Family","Secondary Transporter","2.A.40"
"ECED1_3342","xanthine/uracil","","NCS2","The Nucleobase:Cation Symporter-2 (NCS2) Family","Secondary Transporter","2.A.40"
"ECED1_3347","xanthine/uracil","","NCS2","The Nucleobase:Cation Symporter-2 (NCS2) Family","Secondary Transporter","2.A.40"
"ECED1_4339","xanthine/uracil","","NCS2","The Nucleobase:Cation Symporter-2 (NCS2) Family","Secondary Transporter","2.A.40"
"ECED1_0018","sodium ion:proton antiporter","","NhaA","The NhaA Na+:H+ Antiporter (NhaA) Family","Secondary Transporter","2.A.33"
